character,state,type,filename,width,height,mode
ma-dehai,normal,fullbody,ma-dehai-normal-fullbody.png,1024,1536,RGBA
ma-dehai,normal,portrait,ma-dehai-normal-portrait.png,512,512,RGBA
ma-dehai,hungry,fullbody,ma-dehai-hungry-fullbody.png,1024,1536,RGBA
ma-dehai,hungry,portrait,ma-dehai-hungry-portrait.png,512,512,RGBA
ma-dehai,dehydrated,fullbody,ma-dehai-dehydrated-fullbody.png,1024,1536,RGBA
ma-dehai,dehydrated,portrait,ma-dehai-dehydrated-portrait.png,512,512,RGBA
ma-dehai,sick,fullbody,ma-dehai-sick-fullbody.png,1024,1536,RGBA
ma-dehai,sick,portrait,ma-dehai-sick-portrait.png,512,512,RGBA
ma-dehai,injured,fullbody,ma-dehai-injured-fullbody.png,1024,1536,RGBA
ma-dehai,injured,portrait,ma-dehai-injured-portrait.png,512,512,RGBA
ma-dehai,disturbed,fullbody,ma-dehai-disturbed-fullbody.png,1024,1536,RGBA
ma-dehai,disturbed,portrait,ma-dehai-disturbed-portrait.png,512,512,RGBA
ma-dehai,terminal,fullbody,ma-dehai-terminal-fullbody.png,1024,1536,RGBA
ma-dehai,terminal,portrait,ma-dehai-terminal-portrait.png,512,512,RGBA
shen-zhiyue,normal,fullbody,shen-zhiyue-normal-fullbody.png,1024,1536,RGBA
shen-zhiyue,normal,portrait,shen-zhiyue-normal-portrait.png,512,512,RGBA
shen-zhiyue,hungry,fullbody,shen-zhiyue-hungry-fullbody.png,1024,1536,RGBA
shen-zhiyue,hungry,portrait,shen-zhiyue-hungry-portrait.png,512,512,RGBA
shen-zhiyue,dehydrated,fullbody,shen-zhiyue-dehydrated-fullbody.png,1024,1536,RGBA
shen-zhiyue,dehydrated,portrait,shen-zhiyue-dehydrated-portrait.png,512,512,RGBA
shen-zhiyue,sick,fullbody,shen-zhiyue-sick-fullbody.png,1024,1536,RGBA
shen-zhiyue,sick,portrait,shen-zhiyue-sick-portrait.png,512,512,RGBA
shen-zhiyue,injured,fullbody,shen-zhiyue-injured-fullbody.png,1024,1536,RGBA
shen-zhiyue,injured,portrait,shen-zhiyue-injured-portrait.png,512,512,RGBA
shen-zhiyue,disturbed,fullbody,shen-zhiyue-disturbed-fullbody.png,1024,1536,RGBA
shen-zhiyue,disturbed,portrait,shen-zhiyue-disturbed-portrait.png,512,512,RGBA
shen-zhiyue,terminal,fullbody,shen-zhiyue-terminal-fullbody.png,1024,1536,RGBA
shen-zhiyue,terminal,portrait,shen-zhiyue-terminal-portrait.png,512,512,RGBA
xiao-tie,normal,fullbody,xiao-tie-normal-fullbody.png,1024,1536,RGBA
xiao-tie,normal,portrait,xiao-tie-normal-portrait.png,512,512,RGBA
xiao-tie,hungry,fullbody,xiao-tie-hungry-fullbody.png,1024,1536,RGBA
xiao-tie,hungry,portrait,xiao-tie-hungry-portrait.png,512,512,RGBA
xiao-tie,dehydrated,fullbody,xiao-tie-dehydrated-fullbody.png,1024,1536,RGBA
xiao-tie,dehydrated,portrait,xiao-tie-dehydrated-portrait.png,512,512,RGBA
xiao-tie,sick,fullbody,xiao-tie-sick-fullbody.png,1024,1536,RGBA
xiao-tie,sick,portrait,xiao-tie-sick-portrait.png,512,512,RGBA
xiao-tie,injured,fullbody,xiao-tie-injured-fullbody.png,1024,1536,RGBA
xiao-tie,injured,portrait,xiao-tie-injured-portrait.png,512,512,RGBA
xiao-tie,disturbed,fullbody,xiao-tie-disturbed-fullbody.png,1024,1536,RGBA
xiao-tie,disturbed,portrait,xiao-tie-disturbed-portrait.png,512,512,RGBA
xiao-tie,terminal,fullbody,xiao-tie-terminal-fullbody.png,1024,1536,RGBA
xiao-tie,terminal,portrait,xiao-tie-terminal-portrait.png,512,512,RGBA
lao-qian,normal,fullbody,lao-qian-normal-fullbody.png,1024,1536,RGBA
lao-qian,normal,portrait,lao-qian-normal-portrait.png,512,512,RGBA
lao-qian,hungry,fullbody,lao-qian-hungry-fullbody.png,1024,1536,RGBA
lao-qian,hungry,portrait,lao-qian-hungry-portrait.png,512,512,RGBA
lao-qian,dehydrated,fullbody,lao-qian-dehydrated-fullbody.png,1024,1536,RGBA
lao-qian,dehydrated,portrait,lao-qian-dehydrated-portrait.png,512,512,RGBA
lao-qian,sick,fullbody,lao-qian-sick-fullbody.png,1024,1536,RGBA
lao-qian,sick,portrait,lao-qian-sick-portrait.png,512,512,RGBA
lao-qian,injured,fullbody,lao-qian-injured-fullbody.png,1024,1536,RGBA
lao-qian,injured,portrait,lao-qian-injured-portrait.png,512,512,RGBA
lao-qian,disturbed,fullbody,lao-qian-disturbed-fullbody.png,1024,1536,RGBA
lao-qian,disturbed,portrait,lao-qian-disturbed-portrait.png,512,512,RGBA
lao-qian,terminal,fullbody,lao-qian-terminal-fullbody.png,1024,1536,RGBA
lao-qian,terminal,portrait,lao-qian-terminal-portrait.png,512,512,RGBA
