图片文件名,相对路径,中文名,分类,尺寸版本,备注
rd_char_lao_qian_idle.png,assets/characters/rd_char_lao_qian_idle.png,老钱待机全身,角色,canonical,背景适配版，已做 alpha bleed / 去白边
rd_char_lao_qian_idle_128.png,assets/characters/rd_char_lao_qian_idle_128.png,老钱待机全身,角色,128,背景适配版，已做 alpha bleed / 去白边
rd_char_lao_qian_idle_512.png,assets/characters/rd_char_lao_qian_idle_512.png,老钱待机全身,角色,512,背景适配版，已做 alpha bleed / 去白边
rd_char_lao_qian_idle_64.png,assets/characters/rd_char_lao_qian_idle_64.png,老钱待机全身,角色,64,背景适配版，已做 alpha bleed / 去白边
rd_char_lao_qian_portrait.png,assets/characters/rd_char_lao_qian_portrait.png,老钱头像,角色,canonical,背景适配版，已做 alpha bleed / 去白边
rd_char_lao_qian_portrait_128.png,assets/characters/rd_char_lao_qian_portrait_128.png,老钱头像,角色,128,背景适配版，已做 alpha bleed / 去白边
rd_char_lao_qian_portrait_512.png,assets/characters/rd_char_lao_qian_portrait_512.png,老钱头像,角色,512,背景适配版，已做 alpha bleed / 去白边
rd_char_lao_qian_portrait_64.png,assets/characters/rd_char_lao_qian_portrait_64.png,老钱头像,角色,64,背景适配版，已做 alpha bleed / 去白边
rd_char_ma_dehai_idle.png,assets/characters/rd_char_ma_dehai_idle.png,马德海待机全身,角色,canonical,背景适配版，已做 alpha bleed / 去白边
rd_char_ma_dehai_idle_128.png,assets/characters/rd_char_ma_dehai_idle_128.png,马德海待机全身,角色,128,背景适配版，已做 alpha bleed / 去白边
rd_char_ma_dehai_idle_512.png,assets/characters/rd_char_ma_dehai_idle_512.png,马德海待机全身,角色,512,背景适配版，已做 alpha bleed / 去白边
rd_char_ma_dehai_idle_64.png,assets/characters/rd_char_ma_dehai_idle_64.png,马德海待机全身,角色,64,背景适配版，已做 alpha bleed / 去白边
rd_char_ma_dehai_portrait.png,assets/characters/rd_char_ma_dehai_portrait.png,马德海头像,角色,canonical,背景适配版，已做 alpha bleed / 去白边
rd_char_ma_dehai_portrait_128.png,assets/characters/rd_char_ma_dehai_portrait_128.png,马德海头像,角色,128,背景适配版，已做 alpha bleed / 去白边
rd_char_ma_dehai_portrait_512.png,assets/characters/rd_char_ma_dehai_portrait_512.png,马德海头像,角色,512,背景适配版，已做 alpha bleed / 去白边
rd_char_ma_dehai_portrait_64.png,assets/characters/rd_char_ma_dehai_portrait_64.png,马德海头像,角色,64,背景适配版，已做 alpha bleed / 去白边
rd_char_shen_zhiyue_idle.png,assets/characters/rd_char_shen_zhiyue_idle.png,沈芷月待机全身,角色,canonical,背景适配版，已做 alpha bleed / 去白边
rd_char_shen_zhiyue_idle_128.png,assets/characters/rd_char_shen_zhiyue_idle_128.png,沈芷月待机全身,角色,128,背景适配版，已做 alpha bleed / 去白边
rd_char_shen_zhiyue_idle_512.png,assets/characters/rd_char_shen_zhiyue_idle_512.png,沈芷月待机全身,角色,512,背景适配版，已做 alpha bleed / 去白边
rd_char_shen_zhiyue_idle_64.png,assets/characters/rd_char_shen_zhiyue_idle_64.png,沈芷月待机全身,角色,64,背景适配版，已做 alpha bleed / 去白边
rd_char_shen_zhiyue_portrait.png,assets/characters/rd_char_shen_zhiyue_portrait.png,沈芷月头像,角色,canonical,背景适配版，已做 alpha bleed / 去白边
rd_char_shen_zhiyue_portrait_128.png,assets/characters/rd_char_shen_zhiyue_portrait_128.png,沈芷月头像,角色,128,背景适配版，已做 alpha bleed / 去白边
rd_char_shen_zhiyue_portrait_512.png,assets/characters/rd_char_shen_zhiyue_portrait_512.png,沈芷月头像,角色,512,背景适配版，已做 alpha bleed / 去白边
rd_char_shen_zhiyue_portrait_64.png,assets/characters/rd_char_shen_zhiyue_portrait_64.png,沈芷月头像,角色,64,背景适配版，已做 alpha bleed / 去白边
rd_char_xiao_tie_idle.png,assets/characters/rd_char_xiao_tie_idle.png,小铁待机全身,角色,canonical,背景适配版，已做 alpha bleed / 去白边
rd_char_xiao_tie_idle_128.png,assets/characters/rd_char_xiao_tie_idle_128.png,小铁待机全身,角色,128,背景适配版，已做 alpha bleed / 去白边
rd_char_xiao_tie_idle_512.png,assets/characters/rd_char_xiao_tie_idle_512.png,小铁待机全身,角色,512,背景适配版，已做 alpha bleed / 去白边
rd_char_xiao_tie_idle_64.png,assets/characters/rd_char_xiao_tie_idle_64.png,小铁待机全身,角色,64,背景适配版，已做 alpha bleed / 去白边
rd_char_xiao_tie_portrait.png,assets/characters/rd_char_xiao_tie_portrait.png,小铁头像,角色,canonical,背景适配版，已做 alpha bleed / 去白边
rd_char_xiao_tie_portrait_128.png,assets/characters/rd_char_xiao_tie_portrait_128.png,小铁头像,角色,128,背景适配版，已做 alpha bleed / 去白边
rd_char_xiao_tie_portrait_512.png,assets/characters/rd_char_xiao_tie_portrait_512.png,小铁头像,角色,512,背景适配版，已做 alpha bleed / 去白边
rd_char_xiao_tie_portrait_64.png,assets/characters/rd_char_xiao_tie_portrait_64.png,小铁头像,角色,64,背景适配版，已做 alpha bleed / 去白边
rd_event_diesel_canister_scavenged.png,assets/events/rd_event_diesel_canister_scavenged.png,柴油桶,事件资产,canonical,背景适配版，已做 alpha bleed / 去白边
rd_event_diesel_canister_scavenged_128.png,assets/events/rd_event_diesel_canister_scavenged_128.png,柴油桶,事件资产,128,背景适配版，已做 alpha bleed / 去白边
rd_event_diesel_canister_scavenged_512.png,assets/events/rd_event_diesel_canister_scavenged_512.png,柴油桶,事件资产,512,背景适配版，已做 alpha bleed / 去白边
rd_event_diesel_canister_scavenged_64.png,assets/events/rd_event_diesel_canister_scavenged_64.png,柴油桶,事件资产,64,背景适配版，已做 alpha bleed / 去白边
rd_event_night_visitor_door_silhouette.png,assets/events/rd_event_night_visitor_door_silhouette.png,夜访人门口剪影,事件资产,canonical,背景适配版，已做 alpha bleed / 去白边
rd_event_night_visitor_door_silhouette_128.png,assets/events/rd_event_night_visitor_door_silhouette_128.png,夜访人门口剪影,事件资产,128,背景适配版，已做 alpha bleed / 去白边
rd_event_night_visitor_door_silhouette_512.png,assets/events/rd_event_night_visitor_door_silhouette_512.png,夜访人门口剪影,事件资产,512,背景适配版，已做 alpha bleed / 去白边
rd_event_night_visitor_door_silhouette_64.png,assets/events/rd_event_night_visitor_door_silhouette_64.png,夜访人门口剪影,事件资产,64,背景适配版，已做 alpha bleed / 去白边
rd_event_opposite_building_morse_signal.png,assets/events/rd_event_opposite_building_morse_signal.png,对楼摩斯信号,事件资产,canonical,背景适配版，已做 alpha bleed / 去白边
rd_event_opposite_building_morse_signal_128.png,assets/events/rd_event_opposite_building_morse_signal_128.png,对楼摩斯信号,事件资产,128,背景适配版，已做 alpha bleed / 去白边
rd_event_opposite_building_morse_signal_512.png,assets/events/rd_event_opposite_building_morse_signal_512.png,对楼摩斯信号,事件资产,512,背景适配版，已做 alpha bleed / 去白边
rd_event_opposite_building_morse_signal_64.png,assets/events/rd_event_opposite_building_morse_signal_64.png,对楼摩斯信号,事件资产,64,背景适配版，已做 alpha bleed / 去白边
rd_event_sand_rat_intruder.png,assets/events/rd_event_sand_rat_intruder.png,沙鼠入侵事件物,事件资产,canonical,背景适配版，已做 alpha bleed / 去白边
rd_event_sand_rat_intruder_128.png,assets/events/rd_event_sand_rat_intruder_128.png,沙鼠入侵事件物,事件资产,128,背景适配版，已做 alpha bleed / 去白边
