中文名,分类,主文件,所有图片文件,备注
老钱待机全身,角色,assets/characters/rd_char_lao_qian_idle.png,assets/characters/rd_char_lao_qian_idle.png; assets/characters/rd_char_lao_qian_idle_128.png; assets/characters/rd_char_lao_qian_idle_512.png; assets/characters/rd_char_lao_qian_idle_64.png,背景适配版，已做 alpha bleed / 去白边
老钱头像,角色,assets/characters/rd_char_lao_qian_portrait.png,assets/characters/rd_char_lao_qian_portrait.png; assets/characters/rd_char_lao_qian_portrait_128.png; assets/characters/rd_char_lao_qian_portrait_512.png; assets/characters/rd_char_lao_qian_portrait_64.png,背景适配版，已做 alpha bleed / 去白边
马德海待机全身,角色,assets/characters/rd_char_ma_dehai_idle.png,assets/characters/rd_char_ma_dehai_idle.png; assets/characters/rd_char_ma_dehai_idle_128.png; assets/characters/rd_char_ma_dehai_idle_512.png; assets/characters/rd_char_ma_dehai_idle_64.png,背景适配版，已做 alpha bleed / 去白边
马德海头像,角色,assets/characters/rd_char_ma_dehai_portrait.png,assets/characters/rd_char_ma_dehai_portrait.png; assets/characters/rd_char_ma_dehai_portrait_128.png; assets/characters/rd_char_ma_dehai_portrait_512.png; assets/characters/rd_char_ma_dehai_portrait_64.png,背景适配版，已做 alpha bleed / 去白边
沈芷月待机全身,角色,assets/characters/rd_char_shen_zhiyue_idle.png,assets/characters/rd_char_shen_zhiyue_idle.png; assets/characters/rd_char_shen_zhiyue_idle_128.png; assets/characters/rd_char_shen_zhiyue_idle_512.png; assets/characters/rd_char_shen_zhiyue_idle_64.png,背景适配版，已做 alpha bleed / 去白边
沈芷月头像,角色,assets/characters/rd_char_shen_zhiyue_portrait.png,assets/characters/rd_char_shen_zhiyue_portrait.png; assets/characters/rd_char_shen_zhiyue_portrait_128.png; assets/characters/rd_char_shen_zhiyue_portrait_512.png; assets/characters/rd_char_shen_zhiyue_portrait_64.png,背景适配版，已做 alpha bleed / 去白边
小铁待机全身,角色,assets/characters/rd_char_xiao_tie_idle.png,assets/characters/rd_char_xiao_tie_idle.png; assets/characters/rd_char_xiao_tie_idle_128.png; assets/characters/rd_char_xiao_tie_idle_512.png; assets/characters/rd_char_xiao_tie_idle_64.png,背景适配版，已做 alpha bleed / 去白边
小铁头像,角色,assets/characters/rd_char_xiao_tie_portrait.png,assets/characters/rd_char_xiao_tie_portrait.png; assets/characters/rd_char_xiao_tie_portrait_128.png; assets/characters/rd_char_xiao_tie_portrait_512.png; assets/characters/rd_char_xiao_tie_portrait_64.png,背景适配版，已做 alpha bleed / 去白边
暖色吊灯,环境件,assets/scenes/rd_env_ceiling_lamp_warm.png,assets/scenes/rd_env_ceiling_lamp_warm.png; assets/scenes/rd_env_ceiling_lamp_warm_128.png; assets/scenes/rd_env_ceiling_lamp_warm_512.png; assets/scenes/rd_env_ceiling_lamp_warm_64.png,背景适配版，已做 alpha bleed / 去白边
旧藤椅,环境件,assets/scenes/rd_env_chair_old_rattan.png,assets/scenes/rd_env_chair_old_rattan.png; assets/scenes/rd_env_chair_old_rattan_128.png; assets/scenes/rd_env_chair_old_rattan_512.png; assets/scenes/rd_env_chair_old_rattan_64.png,背景适配版，已做 alpha bleed / 去白边
橙色应急灯,环境件,assets/scenes/rd_env_emergency_lamp_orange.png,assets/scenes/rd_env_emergency_lamp_orange.png; assets/scenes/rd_env_emergency_lamp_orange_128.png; assets/scenes/rd_env_emergency_lamp_orange_512.png; assets/scenes/rd_env_emergency_lamp_orange_64.png,背景适配版，已做 alpha bleed / 去白边
旧版顶部排风扇扇叶,环境件,assets/scenes/rd_env_exhaust_fan_blades_rotor.png,assets/scenes/rd_env_exhaust_fan_blades_rotor.png; assets/scenes/rd_env_exhaust_fan_blades_rotor_128.png; assets/scenes/rd_env_exhaust_fan_blades_rotor_512.png; assets/scenes/rd_env_exhaust_fan_blades_rotor_64.png,背景适配版，已做 alpha bleed / 去白边
旧版顶部排风扇本体,环境件,assets/scenes/rd_env_exhaust_fan_body_static.png,assets/scenes/rd_env_exhaust_fan_body_static.png; assets/scenes/rd_env_exhaust_fan_body_static_128.png; assets/scenes/rd_env_exhaust_fan_body_static_512.png; assets/scenes/rd_env_exhaust_fan_body_static_64.png,背景适配版，已做 alpha bleed / 去白边
env exhaust fan split composite check,环境件,assets/scenes/rd_env_exhaust_fan_split_composite_check.png,assets/scenes/rd_env_exhaust_fan_split_composite_check.png,背景适配版，已做 alpha bleed / 去白边
旧版电扇与排风扇组合,环境件,assets/scenes/rd_env_fan_ventilation_set.png,assets/scenes/rd_env_fan_ventilation_set.png; assets/scenes/rd_env_fan_ventilation_set_128.png; assets/scenes/rd_env_fan_ventilation_set_512.png; assets/scenes/rd_env_fan_ventilation_set_64.png,背景适配版，已做 alpha bleed / 去白边
吊灯与应急灯组合,环境件,assets/scenes/rd_env_lamp_emergency_light_pair.png,assets/scenes/rd_env_lamp_emergency_light_pair.png; assets/scenes/rd_env_lamp_emergency_light_pair_128.png; assets/scenes/rd_env_lamp_emergency_light_pair_512.png; assets/scenes/rd_env_lamp_emergency_light_pair_64.png,背景适配版，已做 alpha bleed / 去白边
金属档案架,环境件,assets/scenes/rd_env_metal_archive_shelf.png,assets/scenes/rd_env_metal_archive_shelf.png; assets/scenes/rd_env_metal_archive_shelf_128.png; assets/scenes/rd_env_metal_archive_shelf_512.png; assets/scenes/rd_env_metal_archive_shelf_64.png,背景适配版，已做 alpha bleed / 去白边
杂乱凳子组,环境件,assets/scenes/rd_env_mismatched_stools_set.png,assets/scenes/rd_env_mismatched_stools_set.png; assets/scenes/rd_env_mismatched_stools_set_128.png; assets/scenes/rd_env_mismatched_stools_set_512.png; assets/scenes/rd_env_mismatched_stools_set_64.png,背景适配版，已做 alpha bleed / 去白边
旧木圆凳,环境件,assets/scenes/rd_env_stool_old_wood_round.png,assets/scenes/rd_env_stool_old_wood_round.png; assets/scenes/rd_env_stool_old_wood_round_128.png; assets/scenes/rd_env_stool_old_wood_round_512.png; assets/scenes/rd_env_stool_old_wood_round_64.png,背景适配版，已做 alpha bleed / 去白边
塑料折叠凳,环境件,assets/scenes/rd_env_stool_plastic_folding.png,assets/scenes/rd_env_stool_plastic_folding.png; assets/scenes/rd_env_stool_plastic_folding_128.png; assets/scenes/rd_env_stool_plastic_folding_512.png; assets/scenes/rd_env_stool_plastic_folding_64.png,背景适配版，已做 alpha bleed / 去白边
司机备用折叠凳,环境件,assets/scenes/rd_env_stool_taxi_spare_folding.png,assets/scenes/rd_env_stool_taxi_spare_folding.png; assets/scenes/rd_env_stool_taxi_spare_folding_128.png; assets/scenes/rd_env_stool_taxi_spare_folding_512.png; assets/scenes/rd_env_stool_taxi_spare_folding_64.png,背景适配版，已做 alpha bleed / 去白边
储物柜,环境件,assets/scenes/rd_env_storage_cabinet_stocked.png,assets/scenes/rd_env_storage_cabinet_stocked.png; assets/scenes/rd_env_storage_cabinet_stocked_128.png; assets/scenes/rd_env_storage_cabinet_stocked_512.png; assets/scenes/rd_env_storage_cabinet_stocked_64.png,背景适配版，已做 alpha bleed / 去白边
旧版桌面风扇扇叶,环境件,assets/scenes/rd_env_table_fan_blades_rotor.png,assets/scenes/rd_env_table_fan_blades_rotor.png; assets/scenes/rd_env_table_fan_blades_rotor_128.png; assets/scenes/rd_env_table_fan_blades_rotor_512.png; assets/scenes/rd_env_table_fan_blades_rotor_64.png,背景适配版，已做 alpha bleed / 去白边
旧版桌面风扇本体,环境件,assets/scenes/rd_env_table_fan_body_static.png,assets/scenes/rd_env_table_fan_body_static.png; assets/scenes/rd_env_table_fan_body_static_128.png; assets/scenes/rd_env_table_fan_body_static_512.png; assets/scenes/rd_env_table_fan_body_static_64.png,背景适配版，已做 alpha bleed / 去白边
env table fan split composite check,环境件,assets/scenes/rd_env_table_fan_split_composite_check.png,assets/scenes/rd_env_table_fan_split_composite_check.png,背景适配版，已做 alpha bleed / 去白边
