图片文件名,相对路径,中文名,分类,清单编号,尺寸版本,用途备注
rd_prop_aura_speaker_idle.png,assets/props/rd_prop_aura_speaker_idle.png,AURA 智能音箱,道具,P+1,canonical,Core-X 推理载体 / 耗电
rd_prop_aura_speaker_idle_128.png,assets/props/rd_prop_aura_speaker_idle_128.png,AURA 智能音箱,道具,P+1,128,Core-X 推理载体 / 耗电
rd_prop_aura_speaker_idle_512.png,assets/props/rd_prop_aura_speaker_idle_512.png,AURA 智能音箱,道具,P+1,512,Core-X 推理载体 / 耗电
rd_prop_aura_speaker_idle_64.png,assets/props/rd_prop_aura_speaker_idle_64.png,AURA 智能音箱,道具,P+1,64,Core-X 推理载体 / 耗电
rd_prop_battery_box_mixed_cells.png,assets/props/rd_prop_battery_box_mixed_cells.png,备用电池混装盒,道具,P9,canonical,AURA / 风扇 / 收音机 / MP3 供电
rd_prop_battery_box_mixed_cells_128.png,assets/props/rd_prop_battery_box_mixed_cells_128.png,备用电池混装盒,道具,P9,128,AURA / 风扇 / 收音机 / MP3 供电
rd_prop_battery_box_mixed_cells_512.png,assets/props/rd_prop_battery_box_mixed_cells_512.png,备用电池混装盒,道具,P9,512,AURA / 风扇 / 收音机 / MP3 供电
rd_prop_battery_box_mixed_cells_64.png,assets/props/rd_prop_battery_box_mixed_cells_64.png,备用电池混装盒,道具,P9,64,AURA / 风扇 / 收音机 / MP3 供电
rd_prop_chess_board_single.png,assets/props/rd_prop_chess_board_single.png,国际象棋,道具,P6,canonical,降低焦虑 / 对弈事件
rd_prop_chess_board_single_128.png,assets/props/rd_prop_chess_board_single_128.png,国际象棋,道具,P6,128,降低焦虑 / 对弈事件
rd_prop_chess_board_single_512.png,assets/props/rd_prop_chess_board_single_512.png,国际象棋,道具,P6,512,降低焦虑 / 对弈事件
rd_prop_chess_board_single_64.png,assets/props/rd_prop_chess_board_single_64.png,国际象棋,道具,P6,64,降低焦虑 / 对弈事件
