transaction_id,customer_id,amount,date
TX00001,C013,70.29,2025-08-01
TX00002,C008,127.64,2025-08-02
TX00003,C008,108.55,2025-08-03
TX00004,C013,109.48,2025-08-04
TX00005,C017,85.03,2025-08-05
TX00006,C020,65.82,2025-08-06
TX00007,C016,114.99,2025-08-07
TX00008,C019,145.62,2025-08-08
TX00009,C007,113.99,2025-08-09
TX00010,C013,49.02,2025-08-10
TX00011,C007,125.41,2025-08-11
TX00012,C019,136.05,2025-08-12
TX00013,C011,141.32,2025-08-13
TX00014,C003,123.73,2025-08-14
TX00015,C016,96.41,2025-08-15
TX00016,C018,108.1,2025-08-16
TX00017,C001,74.62,2025-08-17
TX00018,C018,112.89,2025-08-18
TX00019,C003,37.41,2025-08-19
TX00020,C020,115.2,2025-08-20
TX00021,C015,127.92,2025-08-21
TX00022,C007,95.89,2025-08-22
TX00023,C006,99.49,2025-08-23
TX00024,C006,67.61,2025-08-24
TX00025,C017,95.6,2025-08-25
TX00026,C001,93.03,2025-08-26
TX00027,C006,45.23,2025-08-27
TX00028,C003,109.12,2025-08-28
TX00029,C014,88.75,2025-08-01
TX00030,C020,87.71,2025-08-02
TX00031,C001,88.11,2025-08-03
TX00032,C013,111.02,2025-08-04
TX00033,C007,165.5,2025-08-05
TX00034,C007,52.39,2025-08-06
TX00035,C015,98.55,2025-08-07
TX00036,C005,130.49,2025-08-08
TX00037,C012,131.82,2025-08-09
TX00038,C002,87.71,2025-08-10
TX00039,C005,96.57,2025-08-11
TX00040,C005,52.37,2025-08-12
TX00041,C020,114.42,2025-08-13
TX00042,C004,94.42,2025-08-14
TX00043,C005,73.73,2025-08-15
TX00044,C014,188.39,2025-08-16
TX00045,C005,154.94,2025-08-17
TX00046,C011,71.63,2025-08-18
TX00047,C016,117.23,2025-08-19
TX00048,C004,44.57,2025-08-20
TX00049,C012,104.55,2025-08-21
TX00050,C010,110.7,2025-08-22
TX00051,C001,91.95,2025-08-23
TX00052,C007,95.19,2025-08-24
TX00053,C013,55.07,2025-08-25
TX00054,C013,133.04,2025-08-26
TX00055,C013,75.22,2025-08-27
TX00056,C003,114.85,2025-08-28
TX00057,C006,149.4,2025-08-01
TX00058,C013,53.36,2025-08-02
TX00059,C015,107.29,2025-08-03
TX00060,C008,158.35,2025-08-04
TX00061,C010,136.04,2025-08-05
TX00062,C011,128.23,2025-08-06
TX00063,C007,104.15,2025-08-07
TX00064,C008,52.88,2025-08-08
TX00065,C013,85.62,2025-08-09
TX00066,C003,147.95,2025-08-10
TX00067,C015,42.4,2025-08-11
TX00068,C003,131.15,2025-08-12
TX00069,C017,87.82,2025-08-13
TX00070,C011,143.93,2025-08-14
TX00071,C016,32.35,2025-08-15
TX00072,C009,85.66,2025-08-16
TX00073,C014,122.65,2025-08-17
TX00074,C020,79.15,2025-08-18
TX00075,C006,90.9,2025-08-19
TX00076,C020,144.25,2025-08-20
TX00077,C020,83.87,2025-08-21
TX00078,C013,72.01,2025-08-22
TX00079,C011,121.0,2025-08-23
TX00080,C012,82.06,2025-08-24
TX00081,C010,119.18,2025-08-25
TX00082,C006,95.67,2025-08-26
TX00083,C009,72.76,2025-08-27
TX00084,C008,58.72,2025-08-28
TX00085,C014,117.68,2025-08-01
TX00086,C013,78.77,2025-08-02
TX00087,C001,128.13,2025-08-03
TX00088,C001,123.97,2025-08-04
TX00089,C017,83.36,2025-08-05
TX00090,C006,141.61,2025-08-06
TX00091,C017,107.07,2025-08-07
TX00092,C007,68.27,2025-08-08
TX00093,C009,99.56,2025-08-09
TX00094,C015,50.84,2025-08-10
TX00095,C018,59.07,2025-08-11
TX00096,C020,91.92,2025-08-12
TX00097,C010,101.88,2025-08-13
TX00098,C004,105.83,2025-08-14
TX00099,C010,106.8,2025-08-15
TX00100,C002,103.5,2025-08-16
TX00101,C014,8.25,2025-08-01
TX00102,C007,9.51,2025-08-04
TX00103,C013,-34.11,2025-08-07
TX00104,C005,4.11,2025-08-10
TX00105,C014,-7.1,2025-08-13
TX00106,C009,-22.21,2025-08-16
TX00107,C006,6.22,2025-08-19
