user_id,signup_date
U0001,2025-07-29
U0002,2025-07-31
U0003,2025-07-03
U0004,2025-07-05
U0005,2025-07-03
U0006,2025-07-05
U0007,2025-07-07
U0008,2025-07-02
U0009,2025-07-30
U0010,2025-07-02
U0011,2025-07-04
U0012,2025-07-06
U0013,2025-07-04
U0014,2025-07-06
U0015,2025-07-31
U0016,2025-07-03
U0017,2025-07-31
U0018,2025-07-03
U0019,2025-07-05
U0020,2025-07-07
U0021,2025-07-05
U0022,2025-07-30
U0023,2025-07-02
U0024,2025-07-04
U0025,2025-07-02
U0026,2025-07-04
U0027,2025-07-06
U0028,2025-07-08
U0029,2025-07-29
U0030,2025-07-31
U0031,2025-07-03
U0032,2025-07-05
U0033,2025-07-03
U0034,2025-07-05
U0035,2025-07-07
U0036,2025-07-02
U0037,2025-07-30
U0038,2025-07-02
U0039,2025-07-04
U0040,2025-07-06
U0041,2025-07-04
U0042,2025-07-06
U0043,2025-07-31
U0044,2025-07-03
U0045,2025-07-31
U0046,2025-07-03
U0047,2025-07-05
U0048,2025-07-07
U0049,2025-07-05
U0050,2025-07-30
U0051,2025-07-02
U0052,2025-07-04
U0053,2025-07-02
U0054,2025-07-04
U0055,2025-07-06
U0056,2025-07-08
U0057,2025-07-29
U0058,2025-07-31
U0059,2025-07-03
U0060,2025-07-05
U0061,2025-07-03
U0062,2025-07-05
U0063,2025-07-07
U0064,2025-07-02
U0065,2025-07-30
U0066,2025-07-02
U0067,2025-07-04
U0068,2025-07-06
U0069,2025-07-04
U0070,2025-07-06
U0071,2025-07-31
U0072,2025-07-03
U0073,2025-07-31
U0074,2025-07-03
U0075,2025-07-05
U0076,2025-07-07
U0077,2025-07-05
U0078,2025-07-30
U0079,2025-07-02
U0080,2025-07-04
U0081,2025-07-02
U0082,2025-07-04
U0083,2025-07-06
U0084,2025-07-08
U0085,2025-07-29
U0086,2025-07-31
U0087,2025-07-03
U0088,2025-07-05
U0089,2025-07-03
U0090,2025-07-05
U0091,2025-07-07
U0092,2025-07-02
U0093,2025-07-30
U0094,2025-07-02
U0095,2025-07-04
U0096,2025-07-06
U0097,2025-07-04
U0098,2025-07-06
U0099,2025-07-31
U0100,2025-07-03
U0101,2025-07-31
U0102,2025-07-03
U0103,2025-07-05
U0104,2025-07-07
U0105,2025-07-05
U0106,2025-07-30
U0107,2025-07-02
U0108,2025-07-04
U0109,2025-07-02
U0110,2025-07-04
U0111,2025-07-06
U0112,2025-07-08
U0113,2025-07-29
U0114,2025-07-31
U0115,2025-07-03
U0116,2025-07-05
U0117,2025-07-03
U0118,2025-07-05
U0119,2025-07-07
U0120,2025-07-02
U0121,2025-07-30
U0122,2025-07-02
U0123,2025-07-04
U0124,2025-07-06
U0125,2025-07-04
U0126,2025-07-06
U0127,2025-07-31
U0128,2025-07-03
U0129,2025-07-31
U0130,2025-07-03
U0131,2025-07-05
U0132,2025-07-07
U0133,2025-07-05
U0134,2025-07-30
U0135,2025-07-02
U0136,2025-07-04
U0137,2025-07-02
U0138,2025-07-04
U0139,2025-07-06
U0140,2025-07-08
U0141,2025-07-29
U0142,2025-07-31
U0143,2025-07-03
U0144,2025-07-05
U0145,2025-07-03
U0146,2025-07-05
U0147,2025-07-07
U0148,2025-07-02
U0149,2025-07-30
U0150,2025-07-02
U0151,2025-07-04
U0152,2025-07-06
U0153,2025-07-04
U0154,2025-07-06
U0155,2025-07-31
U0156,2025-07-03
U0157,2025-07-31
U0158,2025-07-03
U0159,2025-07-05
U0160,2025-07-07
U0161,2025-07-05
U0162,2025-07-30
U0163,2025-07-02
U0164,2025-07-04
U0165,2025-07-02
U0166,2025-07-04
U0167,2025-07-06
U0168,2025-07-08
U0169,2025-07-29
U0170,2025-07-31
U0171,2025-07-03
U0172,2025-07-05
U0173,2025-07-03
U0174,2025-07-05
U0175,2025-07-07
U0176,2025-07-02
U0177,2025-07-30
U0178,2025-07-02
U0179,2025-07-04
U0180,2025-07-06
U0181,2025-07-04
U0182,2025-07-06
U0183,2025-07-31
U0184,2025-07-03
U0185,2025-07-31
U0186,2025-07-03
U0187,2025-07-05
U0188,2025-07-07
U0189,2025-07-05
U0190,2025-07-30
U0191,2025-07-02
U0192,2025-07-04
U0193,2025-07-02
U0194,2025-07-04
U0195,2025-07-06
U0196,2025-07-08
U0197,2025-07-29
U0198,2025-07-31
U0199,2025-07-03
U0200,2025-07-05
