transaction_id,customer_id,amount,date
TX00001,C001,2570,2025-01-01
TX00002,C001,2834,2025-02-02
TX00003,C001,2386,2025-03-03
TX00004,C001,2353,2025-04-04
TX00005,C001,2672,2025-05-05
TX00006,C001,2999,2025-06-06
TX00007,C001,2738,2025-07-07
TX00008,C001,2370,2025-08-08
TX00009,C002,2071,2025-01-01
TX00010,C002,2996,2025-02-02
TX00011,C002,2784,2025-03-03
TX00012,C002,2178,2025-04-04
TX00013,C002,2026,2025-05-05
TX00014,C002,2368,2025-06-06
TX00015,C002,2434,2025-07-07
TX00016,C002,2012,2025-08-08
TX00017,C003,2173,2025-01-01
TX00018,C003,2942,2025-02-02
TX00019,C003,2551,2025-03-03
TX00020,C003,2085,2025-04-04
TX00021,C003,2582,2025-05-05
TX00022,C003,2906,2025-06-06
TX00023,C003,2229,2025-07-07
TX00024,C003,2479,2025-08-08
TX00025,C004,2078,2025-01-01
TX00026,C004,2474,2025-02-02
TX00027,C004,2865,2025-03-03
TX00028,C004,2733,2025-04-04
TX00029,C004,2018,2025-05-05
TX00030,C004,2529,2025-06-06
TX00031,C004,2797,2025-07-07
TX00032,C004,2324,2025-08-08
TX00033,C005,2162,2025-01-01
TX00034,C005,2277,2025-02-02
TX00035,C005,2802,2025-03-03
TX00036,C005,2350,2025-04-04
TX00037,C005,2646,2025-05-05
TX00038,C005,2670,2025-06-06
TX00039,C005,2764,2025-07-07
TX00040,C005,2653,2025-08-08
TX00041,C006,2123,2025-01-01
TX00042,C006,1242,2025-02-02
TX00043,C006,1902,2025-03-03
TX00044,C006,1596,2025-04-04
TX00045,C006,1913,2025-05-05
TX00046,C007,1962,2025-01-01
TX00047,C007,1978,2025-02-02
TX00048,C007,1697,2025-03-03
TX00049,C007,1360,2025-04-04
TX00050,C007,1342,2025-05-05
TX00051,C008,1373,2025-01-01
TX00052,C008,1317,2025-02-02
TX00053,C008,1808,2025-03-03
TX00054,C008,1352,2025-04-04
TX00055,C008,1324,2025-05-05
TX00056,C009,1248,2025-01-01
TX00057,C009,2181,2025-02-02
TX00058,C009,1648,2025-03-03
TX00059,C009,1454,2025-04-04
TX00060,C009,1241,2025-05-05
TX00061,C010,1575,2025-01-01
TX00062,C010,1349,2025-02-02
TX00063,C010,1251,2025-03-03
TX00064,C010,1218,2025-04-04
TX00065,C010,2052,2025-05-05
TX00066,C011,1902,2025-01-01
TX00067,C011,1483,2025-02-02
TX00068,C011,1502,2025-03-03
TX00069,C011,1729,2025-04-04
TX00070,C011,1583,2025-05-05
TX00071,C012,1862,2025-01-01
TX00072,C012,1888,2025-02-02
TX00073,C012,2197,2025-03-03
TX00074,C012,1881,2025-04-04
TX00075,C012,1886,2025-05-05
TX00076,C013,2180,2025-01-01
TX00077,C013,1264,2025-02-02
TX00078,C013,1338,2025-03-03
TX00079,C013,1900,2025-04-04
TX00080,C013,1459,2025-05-05
TX00081,C014,1825,2025-01-01
TX00082,C014,1298,2025-02-02
TX00083,C014,1713,2025-03-03
TX00084,C014,1602,2025-04-04
TX00085,C014,2115,2025-05-05
TX00086,C015,1588,2025-01-01
TX00087,C015,1663,2025-02-02
TX00088,C015,1910,2025-03-03
TX00089,C015,1808,2025-04-04
TX00090,C015,1683,2025-05-05
TX00091,C016,1138,2025-01-01
TX00092,C016,1216,2025-02-02
TX00093,C016,936,2025-03-03
TX00094,C017,1044,2025-01-01
TX00095,C017,596,2025-02-02
TX00096,C017,897,2025-03-03
TX00097,C018,515,2025-01-01
TX00098,C018,1276,2025-02-02
TX00099,C018,931,2025-03-03
TX00100,C019,1313,2025-01-01
TX00101,C019,632,2025-02-02
TX00102,C019,821,2025-03-03
TX00103,C020,809,2025-01-01
TX00104,C020,940,2025-02-02
TX00105,C020,713,2025-03-03
TX00106,C021,739,2025-01-01
TX00107,C021,1146,2025-02-02
TX00108,C021,1267,2025-03-03
TX00109,C022,781,2025-01-01
TX00110,C022,991,2025-02-02
TX00111,C022,833,2025-03-03
TX00112,C023,925,2025-01-01
TX00113,C023,1321,2025-02-02
TX00114,C023,860,2025-03-03
TX00115,C024,1085,2025-01-01
TX00116,C024,895,2025-02-02
TX00117,C024,919,2025-03-03
TX00118,C025,1147,2025-01-01
TX00119,C025,1000,2025-02-02
TX00120,C025,899,2025-03-03
