payment_id,customer_id,amount,currency,timestamp
PAY-00001,C001,19.99,USD,2025-08-01T10:00:00Z
PAY-00002,C002,23.49,USD,2025-08-02T11:00:00Z
PAY-00003,C003,26.99,USD,2025-08-03T12:00:00Z
PAY-00004,C004,30.49,USD,2025-08-04T13:00:00Z
PAY-00005,C005,33.99,USD,2025-08-05T14:00:00Z
PAY-00006,C006,37.49,USD,2025-08-06T15:00:00Z
PAY-00007,C007,40.99,USD,2025-08-07T16:00:00Z
PAY-00008,C008,44.49,USD,2025-08-08T17:00:00Z
PAY-00009,C009,47.99,USD,2025-08-09T18:00:00Z
PAY-00010,C010,51.49,USD,2025-08-10T19:00:00Z
PAY-00011,C011,54.99,USD,2025-08-11T20:00:00Z
PAY-00012,C012,58.49,USD,2025-08-12T21:00:00Z
PAY-00013,C013,61.99,USD,2025-08-13T10:00:00Z
PAY-00014,C014,65.49,USD,2025-08-14T11:00:00Z
PAY-00015,C015,68.99,USD,2025-08-15T12:00:00Z
PAY-00016,C001,72.49,USD,2025-08-16T13:00:00Z
PAY-00017,C002,75.99,USD,2025-08-17T14:00:00Z
PAY-00018,C003,79.49,USD,2025-08-18T15:00:00Z
PAY-00019,C004,82.99,USD,2025-08-19T16:00:00Z
PAY-00020,C005,86.49,USD,2025-08-20T17:00:00Z
PAY-00021,C006,89.99,USD,2025-08-21T18:00:00Z
PAY-00022,C007,93.49,USD,2025-08-22T19:00:00Z
PAY-00023,C008,96.99,USD,2025-08-23T20:00:00Z
PAY-00024,C009,100.49,USD,2025-08-24T21:00:00Z
PAY-00025,C010,103.99,USD,2025-08-25T10:00:00Z
PAY-00026,C011,107.49,USD,2025-08-26T11:00:00Z
PAY-00027,C012,110.99,USD,2025-08-27T12:00:00Z
PAY-00028,C013,114.49,USD,2025-08-28T13:00:00Z
PAY-00029,C014,117.99,USD,2025-08-01T14:00:00Z
PAY-00030,C015,121.49,USD,2025-08-02T15:00:00Z
PAY-00001,C001,19.99,USD,2025-08-03T08:00:00Z
PAY-00004,C004,30.49,USD,2025-08-06T11:00:00Z
PAY-00008,C008,44.49,USD,2025-08-10T10:00:00Z
PAY-00013,C013,61.99,USD,2025-08-15T10:00:00Z
PAY-00020,C005,86.49,USD,2025-08-22T12:00:00Z
