user_id,event_type,timestamp
U0121,page_view,2025-08-09T10:00:00Z
U0088,page_view,2025-08-04T13:00:00Z
U0141,page_view,2025-08-01T18:00:00Z
U0212,page_view,2025-08-16T17:00:00Z
U0115,page_view,2025-08-03T16:00:00Z
U0021,page_view,2025-08-21T18:00:00Z
U0431,page_view,2025-08-11T20:00:00Z
U0007,signup,2025-08-07T17:00:00Z
U0227,page_view,2025-08-03T20:00:00Z
U0038,add_to_cart,2025-08-10T13:00:00Z
U0046,signup,2025-08-18T20:00:00Z
U0095,signup,2025-08-11T21:00:00Z
U0422,page_view,2025-08-02T11:00:00Z
U0379,page_view,2025-08-15T16:00:00Z
U0132,signup,2025-08-20T22:00:00Z
U0381,page_view,2025-08-17T18:00:00Z
U0100,signup,2025-08-16T14:00:00Z
U0018,page_view,2025-08-18T15:00:00Z
U0284,page_view,2025-08-04T17:00:00Z
U0081,page_view,2025-08-25T18:00:00Z
U0228,page_view,2025-08-04T21:00:00Z
U0468,page_view,2025-08-20T21:00:00Z
U0311,page_view,2025-08-03T20:00:00Z
U0335,page_view,2025-08-27T20:00:00Z
U0325,page_view,2025-08-17T10:00:00Z
U0208,page_view,2025-08-12T13:00:00Z
U0030,add_to_cart,2025-08-02T17:00:00Z
U0037,page_view,2025-08-09T10:00:00Z
U0471,page_view,2025-08-23T12:00:00Z
U0112,page_view,2025-08-28T13:00:00Z
U0187,page_view,2025-08-19T16:00:00Z
U0059,page_view,2025-08-03T20:00:00Z
U0241,page_view,2025-08-17T10:00:00Z
U0137,signup,2025-08-25T15:00:00Z
U0047,signup,2025-08-19T21:00:00Z
U0013,purchase,2025-08-13T14:00:00Z
U0049,page_view,2025-08-21T10:00:00Z
U0452,page_view,2025-08-04T17:00:00Z
U0202,page_view,2025-08-06T19:00:00Z
U0252,page_view,2025-08-28T21:00:00Z
U0387,page_view,2025-08-23T12:00:00Z
U0009,purchase,2025-08-09T22:00:00Z
U0390,page_view,2025-08-26T15:00:00Z
U0049,signup,2025-08-21T11:00:00Z
U0037,add_to_cart,2025-08-09T12:00:00Z
U0201,page_view,2025-08-05T18:00:00Z
U0020,purchase,2025-08-20T21:00:00Z
U0129,signup,2025-08-17T19:00:00Z
