date,product_id,stock_level
2025-07-01,P001,381
2025-07-02,P001,369
2025-07-03,P001,364
2025-07-04,P001,369
2025-07-05,P001,363
2025-07-06,P001,330
2025-07-07,P001,346
2025-07-08,P001,363
2025-07-09,P001,344
2025-07-10,P001,312
2025-07-11,P001,346
2025-07-12,P001,340
2025-07-13,P001,344
2025-07-14,P001,364
2025-07-15,P001,352
2025-07-16,P001,340
2025-07-17,P001,335
2025-07-18,P001,351
2025-07-19,P001,353
2025-07-20,P001,352
2025-07-21,P001,362
2025-07-22,P001,383
2025-07-23,P001,335
2025-07-24,P001,348
2025-07-25,P001,370
2025-07-26,P001,363
2025-07-27,P001,336
2025-07-28,P001,360
2025-07-29,P001,368
2025-07-30,P001,384
2025-07-31,P001,355
2025-08-01,P001,371
2025-08-02,P001,368
2025-08-03,P001,359
2025-08-04,P001,376
2025-08-05,P001,360
2025-08-06,P001,359
2025-08-07,P001,372
2025-08-08,P001,337
2025-08-09,P001,370
2025-08-10,P001,373
2025-08-11,P001,388
2025-08-12,P001,359
2025-08-13,P001,374
2025-08-14,P001,385
2025-08-15,P001,386
2025-08-16,P001,356
2025-08-17,P001,378
2025-08-18,P001,365
2025-08-19,P001,366
2025-08-20,P001,388
2025-08-21,P001,347
2025-08-22,P001,375
2025-08-23,P001,402
2025-08-24,P001,372
2025-08-25,P001,364
2025-08-26,P001,375
2025-08-27,P001,381
2025-08-28,P001,361
2025-08-29,P001,383
2025-07-01,P002,143
2025-07-02,P002,161
2025-07-03,P002,153
2025-07-04,P002,158
2025-07-05,P002,163
2025-07-06,P002,178
2025-07-07,P002,151
2025-07-08,P002,161
2025-07-09,P002,154
2025-07-10,P002,201
2025-07-11,P002,172
2025-07-12,P002,142
2025-07-13,P002,156
2025-07-14,P002,177
2025-07-15,P002,160
2025-07-16,P002,147
2025-07-17,P002,163
2025-07-18,P002,162
2025-07-19,P002,163
2025-07-20,P002,156
2025-07-21,P002,162
2025-07-22,P002,186
2025-07-23,P002,184
2025-07-24,P002,166
2025-07-25,P002,164
2025-07-26,P002,162
2025-07-27,P002,180
2025-07-28,P002,166
2025-07-29,P002,149
2025-07-30,P002,165
2025-07-31,P002,170
2025-08-01,P002,160
2025-08-02,P002,174
2025-08-03,P002,174
2025-08-04,P002,194
2025-08-05,P002,174
2025-08-06,P002,166
2025-08-07,P002,169
2025-08-08,P002,154
2025-08-09,P002,177
2025-08-10,P002,174
2025-08-11,P002,183
2025-08-12,P002,190
2025-08-13,P002,208
2025-08-14,P002,184
2025-08-15,P002,197
2025-08-16,P002,178
2025-08-17,P002,170
2025-08-18,P002,186
2025-08-19,P002,165
2025-08-20,P002,194
2025-08-21,P002,182
2025-08-22,P002,173
2025-08-23,P002,191
2025-08-24,P002,183
2025-08-25,P002,200
2025-08-26,P002,172
2025-08-27,P002,191
2025-08-28,P002,193
2025-08-29,P002,176
2025-07-01,P003,523
2025-07-02,P003,508
2025-07-03,P003,497
2025-07-04,P003,501
2025-07-05,P003,500
2025-07-06,P003,476
2025-07-07,P003,485
2025-07-08,P003,478
2025-07-09,P003,497
2025-07-10,P003,528
2025-07-11,P003,486
2025-07-12,P003,527
2025-07-13,P003,524
2025-07-14,P003,505
2025-07-15,P003,484
2025-07-16,P003,516
2025-07-17,P003,502
2025-07-18,P003,488
2025-07-19,P003,517
2025-07-20,P003,511
2025-07-21,P003,509
2025-07-22,P003,508
2025-07-23,P003,482
2025-07-24,P003,528
2025-07-25,P003,508
2025-07-26,P003,499
2025-07-27,P003,522
2025-07-28,P003,524
2025-07-29,P003,501
2025-07-30,P003,502
2025-07-31,P003,469
2025-08-01,P003,511
2025-08-02,P003,504
2025-08-03,P003,500
2025-08-04,P003,530
2025-08-05,P003,521
2025-08-06,P003,553
2025-08-07,P003,520
2025-08-08,P003,495
2025-08-09,P003,513
2025-08-10,P003,519
2025-08-11,P003,517
2025-08-12,P003,530
2025-08-13,P003,500
2025-08-14,P003,549
2025-08-15,P003,534
2025-08-16,P003,550
2025-08-17,P003,486
2025-08-18,P003,547
2025-08-19,P003,538
2025-08-20,P003,527
2025-08-21,P003,514
2025-08-22,P003,544
2025-08-23,P003,535
2025-08-24,P003,542
2025-08-25,P003,532
2025-08-26,P003,530
2025-08-27,P003,511
2025-08-28,P003,518
2025-08-29,P003,538
