order_id,product_id,quantity,unit_price
ORD-0001,P004,4,68.74
ORD-0002,P004,5,301.31
ORD-0003,P002,4,332.11
ORD-0004,P006,3,110.09
ORD-0005,P006,2,140.15
ORD-0006,P003,3,234.04
ORD-0007,P002,1,234.56
ORD-0008,P002,1,273.44
ORD-0009,P005,2,467.3
ORD-0010,P002,2,191.07
ORD-0011,P003,4,418.54
ORD-0012,P005,5,492.09
ORD-0013,P001,5,156.7
ORD-0014,P002,2,139.59
ORD-0015,P002,5,86.17
ORD-0016,P005,5,113.21
ORD-0017,P006,2,346.87
ORD-0018,P005,5,249.38
ORD-0019,P001,1,320.8
ORD-0020,P005,1,11.74
ORD-0021,P003,3,89.18
ORD-0022,P008,5,355.78
ORD-0023,P001,1,46.87
ORD-0024,P003,5,27.65
ORD-0025,P006,5,280.74
ORD-0026,P007,2,30.5
ORD-0027,P006,1,450.47
ORD-0028,P004,2,336.8
ORD-0029,P006,5,443.23
ORD-0030,P007,5,377.24
ORD-0031,P004,2,488.34
ORD-0032,P003,4,22.15
ORD-0033,P006,4,403.1
ORD-0034,P004,3,88.01
ORD-0035,P002,4,437.36
ORD-0036,P008,2,107.79
ORD-0037,P008,3,159.54
ORD-0038,P004,2,21.6
ORD-0039,P004,4,170.85
ORD-0040,P002,3,182.06
ORD-0041,P007,5,172.26
ORD-0042,P001,1,439.75
ORD-0043,P005,2,294.49
ORD-0044,P005,1,63.12
ORD-0045,P007,3,366.99
ORD-0046,P006,4,307.04
ORD-0047,P002,4,450.76
ORD-0048,P004,3,31.75
ORD-0049,P007,1,264.76
ORD-0050,P004,3,221.34
ORD-0051,P006,5,163.82
ORD-0052,P002,3,258.49
ORD-0053,P007,3,207.18
ORD-0054,P005,5,72.37
ORD-0055,P007,4,341.89
ORD-0056,P003,5,288.86
ORD-0057,P007,5,418.53
ORD-0058,P005,3,112.99
ORD-0059,P006,4,226.48
ORD-0060,P004,5,241.86
ORD-0061,P003,1,149.06
ORD-0062,P006,1,411.03
ORD-0063,P004,3,120.07
ORD-0064,P004,2,21.97
ORD-0065,P004,4,309.52
ORD-0066,P002,4,213.08
ORD-0067,P004,4,252.24
ORD-0068,P004,2,331.47
ORD-0069,P001,1,391.43
ORD-0070,P004,2,404.01
ORD-0071,P008,1,283.13
ORD-0072,P002,4,75.34
ORD-0073,P008,5,494.07
ORD-0074,P006,4,310.2
ORD-0075,P007,5,228.5
ORD-0076,P003,4,230.53
ORD-0077,P004,3,385.25
ORD-0078,P008,2,144.55
ORD-0079,P002,3,124.9
ORD-0080,P006,3,447.58
