order_id,customer_id,order_date,status
ORD-0001,C007,2025-09-14,completed
ORD-0002,C015,2025-05-26,completed
ORD-0003,C025,2025-03-23,pending
ORD-0004,C011,2025-05-05,completed
ORD-0005,C025,2025-06-04,completed
ORD-0006,C013,2025-02-12,pending
ORD-0007,C020,2025-05-26,completed
ORD-0008,C024,2025-08-18,completed
ORD-0009,C013,2025-02-18,pending
ORD-0010,C021,2025-06-19,completed
ORD-0011,C023,2025-02-02,cancelled
ORD-0012,C008,2025-05-03,completed
ORD-0013,C004,2025-07-09,pending
ORD-0014,C021,2025-06-06,pending
ORD-0015,C012,2025-04-22,pending
ORD-0016,C023,2025-02-20,cancelled
ORD-0017,C006,2025-09-24,completed
ORD-0018,C006,2025-08-13,pending
ORD-0019,C021,2025-09-08,cancelled
ORD-0020,C011,2025-01-08,completed
ORD-0021,C011,2025-07-09,completed
ORD-0022,C007,2025-06-07,cancelled
ORD-0023,C016,2025-07-21,pending
ORD-0024,C005,2025-05-05,completed
ORD-0025,C024,2025-09-18,pending
ORD-0026,C024,2025-07-19,pending
ORD-0027,C012,2025-04-05,cancelled
ORD-0028,C016,2025-02-25,completed
ORD-0029,C004,2025-03-21,completed
ORD-0030,C022,2025-07-20,completed
ORD-0031,C013,2025-07-20,pending
ORD-0032,C017,2025-05-18,completed
ORD-0033,C022,2025-02-22,cancelled
ORD-0034,C025,2025-05-25,cancelled
ORD-0035,C011,2025-02-10,pending
ORD-0036,C006,2025-08-01,cancelled
ORD-0037,C024,2025-05-17,completed
ORD-0038,C017,2025-02-28,cancelled
ORD-0039,C010,2025-09-20,completed
ORD-0040,C005,2025-06-25,completed
ORD-0041,C018,2025-09-01,cancelled
ORD-0042,C011,2025-08-01,completed
ORD-0043,C012,2025-05-08,completed
ORD-0044,C008,2025-02-03,cancelled
ORD-0045,C016,2025-02-25,cancelled
ORD-0046,C025,2025-03-05,cancelled
ORD-0047,C016,2025-09-06,pending
ORD-0048,C017,2025-07-07,cancelled
ORD-0049,C025,2025-04-23,pending
ORD-0050,C013,2025-06-15,cancelled
ORD-0051,C015,2025-02-08,completed
ORD-0052,C003,2025-06-01,cancelled
ORD-0053,C018,2025-04-19,completed
ORD-0054,C001,2025-02-23,cancelled
ORD-0055,C002,2025-04-03,completed
ORD-0056,C011,2025-02-17,completed
ORD-0057,C009,2025-08-07,cancelled
ORD-0058,C005,2025-08-08,pending
ORD-0059,C014,2025-04-04,completed
ORD-0060,C022,2025-07-12,pending
ORD-0061,C014,2025-08-28,cancelled
ORD-0062,C002,2025-02-02,pending
ORD-0063,C024,2025-06-26,completed
ORD-0064,C008,2025-04-07,cancelled
ORD-0065,C015,2025-03-14,completed
ORD-0066,C009,2025-08-08,completed
ORD-0067,C015,2025-09-04,completed
ORD-0068,C021,2025-09-27,completed
ORD-0069,C003,2025-04-06,pending
ORD-0070,C016,2025-08-07,pending
ORD-0071,C002,2025-03-13,completed
ORD-0072,C013,2025-05-26,pending
ORD-0073,C010,2025-07-23,cancelled
ORD-0074,C018,2025-08-05,completed
ORD-0075,C010,2025-04-02,cancelled
ORD-0076,C024,2025-09-02,cancelled
ORD-0077,C011,2025-01-02,cancelled
ORD-0078,C016,2025-09-28,cancelled
ORD-0079,C006,2025-01-17,completed
ORD-0080,C006,2025-02-20,completed
