payment_id,order_id,amount,status
PAY-00001,ORD-0001,143.29,refunded
PAY-00002,ORD-0002,791.16,paid
PAY-00003,ORD-0003,1716.33,refunded
PAY-00004,ORD-0004,964.42,refunded
PAY-00005,ORD-0005,611.25,refunded
PAY-00006,ORD-0006,1709.83,refunded
PAY-00007,ORD-0007,1085.68,paid
PAY-00008,ORD-0008,986.69,refunded
PAY-00009,ORD-0009,882.96,paid
PAY-00010,ORD-0010,789.94,refunded
PAY-00011,ORD-0011,1453.88,refunded
PAY-00012,ORD-0012,1840.69,paid
PAY-00013,ORD-0013,1815.72,paid
PAY-00014,ORD-0014,186.22,refunded
PAY-00015,ORD-0015,288.68,refunded
PAY-00016,ORD-0016,379.82,refunded
PAY-00017,ORD-0017,770.63,paid
PAY-00018,ORD-0018,920.3,refunded
PAY-00019,ORD-0019,1527.23,refunded
PAY-00020,ORD-0020,570.95,refunded
PAY-00021,ORD-0021,519.5,paid
PAY-00022,ORD-0022,951.21,paid
PAY-00023,ORD-0023,1999.82,refunded
PAY-00024,ORD-0024,463.96,paid
PAY-00025,ORD-0025,1566.84,paid
PAY-00026,ORD-0026,1513.38,paid
PAY-00027,ORD-0027,414.73,paid
PAY-00028,ORD-0028,1250.24,paid
PAY-00029,ORD-0029,269.92,paid
PAY-00030,ORD-0030,1136.66,paid
PAY-00031,ORD-0031,940.77,refunded
PAY-00032,ORD-0032,1538.46,paid
PAY-00033,ORD-0033,1219.67,paid
PAY-00034,ORD-0034,1560.03,paid
PAY-00035,ORD-0035,1930.15,paid
PAY-00036,ORD-0036,1165.8,refunded
PAY-00037,ORD-0037,1160.08,refunded
PAY-00038,ORD-0038,805.38,paid
PAY-00039,ORD-0039,170.47,paid
PAY-00040,ORD-0040,221.76,refunded
PAY-00041,ORD-0041,1703.58,paid
PAY-00042,ORD-0042,1596.53,paid
PAY-00043,ORD-0043,707.46,refunded
PAY-00044,ORD-0044,1329.81,paid
PAY-00045,ORD-0045,1021.8,refunded
PAY-00046,ORD-0046,45.05,refunded
PAY-00047,ORD-0047,1648.22,paid
PAY-00048,ORD-0048,878.38,refunded
PAY-00049,ORD-0049,1278.46,refunded
PAY-00050,ORD-0050,1420.47,refunded
PAY-00051,ORD-0051,368.75,refunded
PAY-00052,ORD-0052,1239.51,refunded
PAY-00053,ORD-0053,940.45,refunded
PAY-00054,ORD-0054,658.16,paid
PAY-00055,ORD-0055,1664.85,paid
PAY-00056,ORD-0056,572.28,refunded
PAY-00057,ORD-0057,502.85,refunded
PAY-00058,ORD-0058,1148.3,refunded
PAY-00059,ORD-0059,686.07,refunded
PAY-00060,ORD-0060,1704.89,paid
