order_id,product_id,quantity
ORD-0001,P002,1
ORD-0002,P003,1
ORD-0003,P004,3
ORD-0004,P005,2
ORD-0005,P006,2
ORD-0006,P007,2
ORD-0007,P008,1
ORD-0008,P009,5
ORD-0009,P010,1
ORD-0010,P001,5
ORD-0011,P002,4
ORD-0012,P003,1
ORD-0013,P004,1
ORD-0014,P005,1
ORD-0015,P006,2
ORD-0016,P007,2
ORD-0017,P008,5
ORD-0018,P009,5
ORD-0019,P010,1
ORD-0020,P001,5
ORD-0021,P002,2
ORD-0022,P003,5
ORD-0023,P004,4
ORD-0024,P005,2
ORD-0025,P006,4
ORD-0026,P007,5
ORD-0027,P008,3
ORD-0028,P009,1
ORD-0029,P010,2
ORD-0030,P001,4
ORD-0031,P002,3
ORD-0032,P003,3
ORD-0033,P004,2
ORD-0034,P005,2
ORD-0035,P006,3
ORD-0036,P007,1
ORD-0037,P008,1
ORD-0038,P009,4
ORD-0039,P010,1
ORD-0040,P001,3
ORD-0041,P002,3
ORD-0042,P003,5
ORD-0043,P004,3
ORD-0044,P005,1
ORD-0045,P006,4
ORD-0046,P007,5
ORD-0047,P008,1
ORD-0048,P009,4
ORD-0049,P010,1
ORD-0050,P001,5
