month,region,revenue,units_sold
2025-01,North,35292.0,1411
2025-01,South,27628.0,1105
2025-01,East,26115.0,1044
2025-01,West,31543.0,1261
2025-02,North,34783.0,1391
2025-02,South,28173.0,1126
2025-02,East,24253.0,970
2025-02,West,33267.0,1330
2025-03,North,35237.0,1409
2025-03,South,27522.0,1100
2025-03,East,27187.0,1087
2025-03,West,31794.0,1271
2025-04,North,33468.0,1338
2025-04,South,30404.0,1216
2025-04,East,26546.0,1061
2025-04,West,34472.0,1378
2025-05,North,34325.0,1373
2025-05,South,28065.0,1122
2025-05,East,27950.0,1118
2025-05,West,33863.0,1354
2025-06,North,35679.0,1427
2025-06,South,31471.0,1258
2025-06,East,29058.0,1162
2025-06,West,34784.0,1391
2025-07,North,36670.0,1466
2025-07,South,33133.0,1325
2025-07,East,25044.0,1001
2025-07,West,36252.0,1450
2025-08,North,36147.0,1445
2025-08,South,30575.0,1223
2025-08,East,27263.0,1090
2025-08,West,33646.0,1345
2025-09,North,39886.0,1595
2025-09,South,31839.0,1273
2025-09,East,30526.0,1221
2025-09,West,33502.0,1340
2025-10,North,38449.0,1537
2025-10,South,33032.0,1321
2025-10,East,28615.0,1144
2025-10,West,35154.0,1406
2025-11,North,39057.0,1562
2025-11,South,30772.0,1230
2025-11,East,30644.0,1225
2025-11,West,38654.0,1546
2025-12,North,41977.0,1679
2025-12,South,35034.0,1401
2025-12,East,32101.0,1284
2025-12,West,35410.0,1416
