payment_id,customer_id,amount,currency,timestamp
PAY-00001,C001,29.0,USD,2025-08-01T10:00:00Z
PAY-00002,C002,44.5,USD,2025-08-02T11:00:00Z
PAY-00003,C003,60.0,USD,2025-08-03T12:00:00Z
PAY-00004,C004,75.5,USD,2025-08-04T13:00:00Z
PAY-00005,C005,91.0,USD,2025-08-05T14:00:00Z
PAY-00006,C006,106.5,USD,2025-08-06T15:00:00Z
PAY-00007,C007,122.0,USD,2025-08-07T16:00:00Z
PAY-00008,C008,137.5,USD,2025-08-08T17:00:00Z
PAY-00009,C009,153.0,USD,2025-08-09T18:00:00Z
PAY-00010,C010,168.5,USD,2025-08-10T19:00:00Z
PAY-00011,C011,29.0,USD,2025-08-11T20:00:00Z
PAY-00012,C012,44.5,USD,2025-08-12T21:00:00Z
PAY-00013,C013,60.0,USD,2025-08-13T10:00:00Z
PAY-00014,C014,75.5,USD,2025-08-14T11:00:00Z
PAY-00015,C015,91.0,USD,2025-08-15T12:00:00Z
PAY-00016,C016,106.5,USD,2025-08-16T13:00:00Z
PAY-00017,C017,122.0,USD,2025-08-17T14:00:00Z
PAY-00018,C018,137.5,USD,2025-08-18T15:00:00Z
PAY-00019,C019,153.0,USD,2025-08-19T16:00:00Z
PAY-00020,C020,168.5,USD,2025-08-20T17:00:00Z
PAY-00021,C001,29.0,USD,2025-08-21T18:00:00Z
PAY-00022,C002,44.5,USD,2025-08-22T19:00:00Z
PAY-00023,C003,60.0,USD,2025-08-23T20:00:00Z
PAY-00024,C004,75.5,USD,2025-08-24T21:00:00Z
PAY-00025,C005,91.0,USD,2025-08-25T10:00:00Z
PAY-00026,C006,106.5,USD,2025-08-26T11:00:00Z
PAY-00027,C007,122.0,USD,2025-08-27T12:00:00Z
PAY-00028,C008,137.5,USD,2025-08-28T13:00:00Z
PAY-00029,C009,153.0,USD,2025-08-01T14:00:00Z
PAY-00030,C010,168.5,USD,2025-08-02T15:00:00Z
PAY-00031,C011,29.0,USD,2025-08-03T16:00:00Z
PAY-00032,C012,44.5,USD,2025-08-04T17:00:00Z
PAY-00033,C013,60.0,USD,2025-08-05T18:00:00Z
PAY-00034,C014,75.5,USD,2025-08-06T19:00:00Z
PAY-00035,C015,91.0,USD,2025-08-07T20:00:00Z
PAY-00036,C016,106.5,USD,2025-08-08T21:00:00Z
PAY-00037,C017,122.0,USD,2025-08-09T10:00:00Z
PAY-00038,C018,137.5,USD,2025-08-10T11:00:00Z
PAY-00039,C019,153.0,USD,2025-08-11T12:00:00Z
PAY-00040,C020,168.5,USD,2025-08-12T13:00:00Z
PAY-00041,C001,29.0,USD,2025-08-13T14:00:00Z
PAY-00042,C002,44.5,USD,2025-08-14T15:00:00Z
PAY-00043,C003,60.0,USD,2025-08-15T16:00:00Z
PAY-00044,C004,75.5,USD,2025-08-16T17:00:00Z
PAY-00045,C005,91.0,USD,2025-08-17T18:00:00Z
PAY-00046,C006,106.5,USD,2025-08-18T19:00:00Z
PAY-00047,C007,122.0,USD,2025-08-19T20:00:00Z
PAY-00048,C008,137.5,USD,2025-08-20T21:00:00Z
PAY-00049,C009,153.0,USD,2025-08-21T10:00:00Z
PAY-00050,C010,168.5,USD,2025-08-22T11:00:00Z
PAY-00001,C001,29.0,USD,2025-08-11T14:00:00Z
PAY-00011,C004,44.5,USD,2025-08-12T15:00:00Z
PAY-00021,C007,60.0,USD,2025-08-13T16:00:00Z
PAY-00031,C010,75.5,USD,2025-08-14T17:00:00Z
PAY-00041,C013,91.0,USD,2025-08-15T18:00:00Z
