subscription_id,customer_id,plan,mrr,start_date,end_date
SUB-0001,C001,Basic,29.0,2025-01-01,2025-05-15
SUB-0002,C002,Pro,148.5,2025-02-01,
SUB-0003,C003,Enterprise,598.0,2025-03-01,
SUB-0004,C004,Basic,72.5,2025-04-01,
SUB-0005,C005,Pro,297.0,2025-05-01,
SUB-0006,C006,Enterprise,299.0,2025-06-01,
SUB-0007,C007,Basic,43.5,2025-07-01,
SUB-0008,C008,Pro,198.0,2025-08-01,2025-08-15
SUB-0009,C009,Enterprise,747.5,2025-01-01,
SUB-0010,C010,Basic,87.0,2025-02-01,
SUB-0011,C011,Pro,99.0,2025-03-01,
SUB-0012,C012,Enterprise,448.5,2025-04-01,
SUB-0013,C013,Basic,58.0,2025-05-01,
SUB-0014,C014,Pro,247.5,2025-06-01,
SUB-0015,C015,Enterprise,897.0,2025-07-01,2025-07-15
SUB-0016,C016,Basic,29.0,2025-08-01,
SUB-0017,C017,Pro,148.5,2025-01-01,
SUB-0018,C018,Enterprise,598.0,2025-02-01,
SUB-0019,C019,Basic,72.5,2025-03-01,
SUB-0020,C020,Pro,297.0,2025-04-01,
SUB-0021,C001,Enterprise,299.0,2025-05-01,
SUB-0022,C002,Basic,43.5,2025-06-01,2025-06-15
SUB-0023,C003,Pro,198.0,2025-07-01,
SUB-0024,C004,Enterprise,747.5,2025-08-01,
SUB-0025,C005,Basic,87.0,2025-01-01,
SUB-0026,C006,Pro,99.0,2025-02-01,
SUB-0027,C007,Enterprise,448.5,2025-03-01,
SUB-0028,C008,Basic,58.0,2025-04-01,
SUB-0029,C009,Pro,247.5,2025-05-01,2025-05-15
SUB-0030,C010,Enterprise,897.0,2025-06-01,
